Item,Categoria,Quantidade,Descricao
Cola PVC 5kg,Colas e Adesivos,0,Cola PVC 5kg
Cola rápida 20g,Colas e Adesivos,0,Cola rápida 20g
Cola rápida 100g,Colas e Adesivos,0,Cola rápida 100g
Cola rápida 1000g,Colas e Adesivos,0,Cola rápida 1000g
Cola quente 11mm x 30cm,Colas e Adesivos,0,Cola quente 11mm x 30cm
Fita dupla face 12mm x 30cm,Colas e Adesivos,0,Fita dupla face 12mm x 30cm
Fita adesiva 45mm x 100m,Colas e Adesivos,0,Fita adesiva 45mm x 100m
Lâminas de estilete (x10),Ferramentas e Acessórios,0,Lâminas de estilete (x10)
Seringa de 10ml,Ferramentas e Acessórios,0,Seringa de 10ml
Argola em Madeira,Ferramentas e Acessórios,0,Argola em Madeira
Imã 14x2mm N-35,Imãs,0,Imã 14x2mm N-35
Chapa de imã (G),Imãs,0,Chapa de imã (G)
Chapa de imã (M),Imãs,0,Chapa de imã (M)
Chapa de imã (P),Imãs,0,Chapa de imã (P)
Máscara N95 Aura 3M,EPI e Segurança,0,Máscara N95 Aura 3M
Retardador Vinilico Sol 900ml,Químicos e Aditivos,0,Retardador Vinilico Sol 900ml
Papelão 1.0mm,Papelão,0,Papelão 1.0mm
Papelão 1.05mm,Papelão,0,Papelão 1.05mm
Papelão 1.5mm,Papelão,0,Papelão 1.5mm
Papelão 1.9mm,Papelão,0,Papelão 1.9mm
Papelão 2.0mm,Papelão,0,Papelão 2.0mm
Papelão 2.5mm,Papelão,0,Papelão 2.5mm
Saco de embalagem fino (45x30),Sacos de Embalagem,0,Saco de embalagem fino (45x30)
Saco de embalagem fino (35x25),Sacos de Embalagem,0,Saco de embalagem fino (35x25)
Saco de embalagem fino (30x20),Sacos de Embalagem,0,Saco de embalagem fino (30x20)
Saco de embalagem grosso (90x68),Sacos de Embalagem,0,Saco de embalagem grosso (90x68)
Saco de embalagem grosso (90x100x05),Sacos de Embalagem,0,Saco de embalagem grosso (90x100x05)
Saco de embalagem grosso (80x100x18),Sacos de Embalagem,0,Saco de embalagem grosso (80x100x18)
Saco de lixo 200ml,Sacos de Embalagem,0,Saco de lixo 200ml
