Linha,Item,Gramatura,Quantidade,Descricao
Color Plus TX,Marfim Telado,180g,0,Color Plus TX Marfim Telado 180g
Color Plus TX,Marfim Telado,240g,0,Color Plus TX Marfim Telado 240g
Color Plus TX,Marfim Microcotelê,180g,0,Color Plus TX Marfim Microcotelê 180g
Color Plus TX,Marfim Microcotelê,240g,0,Color Plus TX Marfim Microcotelê 240g
Color Plus TX,Tóquio Telado,180g,0,Color Plus TX Tóquio Telado 180g
Color Plus TX,Tóquio Telado,240g,0,Color Plus TX Tóquio Telado 240g
Color Plus TX,Tóquio Microcotelê,180g,0,Color Plus TX Tóquio Microcotelê 180g
Color Plus TX,Tóquio Microcotelê,240g,0,Color Plus TX Tóquio Microcotelê 240g
Color Plus TX,Pequim Telado,180g,0,Color Plus TX Pequim Telado 180g
Color Plus TX,Pequim Telado,240g,0,Color Plus TX Pequim Telado 240g
Color Plus TX,Pequim Microcotelê,180g,0,Color Plus TX Pequim Microcotelê 180g
Color Plus TX,Pequim Microcotelê,240g,0,Color Plus TX Pequim Microcotelê 240g
Color Plus TX,Porto Seguro Telado,180g,0,Color Plus TX Porto Seguro Telado 180g
Color Plus TX,Porto Seguro Telado,240g,0,Color Plus TX Porto Seguro Telado 240g
Color Plus TX,Porto Seguro Microcotelê,180g,0,Color Plus TX Porto Seguro Microcotelê 180g
Color Plus TX,Porto Seguro Microcotelê,240g,0,Color Plus TX Porto Seguro Microcotelê 240g
Color Plus TX,Marrocos Telado,180g,0,Color Plus TX Marrocos Telado 180g
Color Plus TX,Marrocos Telado,240g,0,Color Plus TX Marrocos Telado 240g
Color Plus TX,Marrocos Microcotelê,180g,0,Color Plus TX Marrocos Microcotelê 180g
Color Plus TX,Marrocos Microcotelê,240g,0,Color Plus TX Marrocos Microcotelê 240g
Color Plus TX,Los Angeles Telado,180g,0,Color Plus TX Los Angeles Telado 180g
Color Plus TX,Los Angeles Telado,240g,0,Color Plus TX Los Angeles Telado 240g
Color Plus TX,Los Angeles Microcotelê,180g,0,Color Plus TX Los Angeles Microcotelê 180g
Color Plus TX,Los Angeles Microcotelê,240g,0,Color Plus TX Los Angeles Microcotelê 240g
Color Plus TX,Mendoza Telado,180g,0,Color Plus TX Mendoza Telado 180g
Color Plus TX,Mendoza Telado,240g,0,Color Plus TX Mendoza Telado 240g
Color Plus TX,Mendoza Dapple,180g,0,Color Plus TX Mendoza Dapple 180g
Color Plus TX,Mendoza Dapple,240g,0,Color Plus TX Mendoza Dapple 240g
Marrakech,Marrakech Giz,90g,0,Marrakech Marrakech Giz 90g
Marrakech,Marrakech Giz,120g,0,Marrakech Marrakech Giz 120g
Marrakech,Marrakech Giz,180g,0,Marrakech Marrakech Giz 180g
Marrakech,Trigo,90g,0,Marrakech Trigo 90g
Marrakech,Trigo,120g,0,Marrakech Trigo 120g
Marrakech,Trigo,180g,0,Marrakech Trigo 180g
Marrakech,Páprica,90g,0,Marrakech Páprica 90g
Marrakech,Páprica,120g,0,Marrakech Páprica 120g
Marrakech,Páprica,180g,0,Marrakech Páprica 180g
Marrakech,Mostarda,90g,0,Marrakech Mostarda 90g
Marrakech,Mostarda,120g,0,Marrakech Mostarda 120g
Marrakech,Mostarda,180g,0,Marrakech Mostarda 180g
Marrakech,Orégano,90g,0,Marrakech Orégano 90g
Marrakech,Orégano,120g,0,Marrakech Orégano 120g
Marrakech,Orégano,180g,0,Marrakech Orégano 180g
Marrakech,Pedra Sabão,90g,0,Marrakech Pedra Sabão 90g
Marrakech,Pedra Sabão,120g,0,Marrakech Pedra Sabão 120g
Marrakech,Pedra Sabão,180g,0,Marrakech Pedra Sabão 180g
Marrakech TX,Giz Microcotelê,180g,0,Marrakech TX Giz Microcotelê 180g
Marrakech TX,Giz Telado,180g,0,Marrakech TX Giz Telado 180g
Marrakech TX,Trigo Microcotelê,180g,0,Marrakech TX Trigo Microcotelê 180g
Marrakech TX,Trigo Telado,180g,0,Marrakech TX Trigo Telado 180g
